date,open,high,low,close
2020-04-28T00:00:00,520,520,520,520
2020-04-29T00:00:00,530,530,517.5,517.5
2020-04-30T00:00:00,540,540,525,525
2020-05-04T00:00:00,525,525,515,515
2020-05-05T00:00:00,530,530,520,520
2020-05-06T00:00:00,520,520,515,515
2020-05-07T00:00:00,520,520,500,500
2020-05-08T00:00:00,525,525,517.5,517.5
2020-05-11T00:00:00,500,520,500,520
2020-05-12T00:00:00,517.5,517.5,495,495
2020-05-13T00:00:00,500,500,500,500
2020-05-14T00:00:00,510,510,497.5,497.5
2020-05-15T00:00:00,515,515,510,510
2020-05-18T00:00:00,520,525,520,525
2020-05-19T00:00:00,532.5,535,532.5,535
2020-05-20T00:00:00,530,530,530,530
2020-05-22T00:00:00,537.5,537.5,537.5,537.5
2020-05-25T00:00:00,572.5,572.5,550,550
2020-05-26T00:00:00,555,555,555,555
2020-05-27T00:00:00,570,570,567.5,567.5
2020-05-28T00:00:00,565,565,557.5,557.5
2020-05-29T00:00:00,565,565,550,550
2020-06-02T00:00:00,600,600,575,575
2020-06-03T00:00:00,592.5,600,592.5,600
2020-06-04T00:00:00,585,585,580,580
2020-06-05T00:00:00,592.5,592.5,587.5,587.5
2020-06-08T00:00:00,585,585,582.5,582.5
2020-06-09T00:00:00,590,590,590,590
2020-06-10T00:00:00,585,585,580,580
2020-06-11T00:00:00,580,580,575,575
2020-06-12T00:00:00,585,585,585,585
2020-06-15T00:00:00,585,585,570,570
2020-06-16T00:00:00,605,605,597.5,597.5
2020-06-17T00:00:00,605,605,600,600
2020-06-18T00:00:00,607.5,607.5,595,595
2020-06-19T00:00:00,645,645,620,620
2020-06-22T00:00:00,622.5,622.5,617.5,617.5
2020-06-23T00:00:00,627.5,627.5,617.5,617.5
2020-06-24T00:00:00,620,620,615,615
2020-06-25T00:00:00,605,605,600,600
2020-06-26T00:00:00,600,600,582.5,582.5
2020-06-29T00:00:00,620,620,585,585
2020-06-30T00:00:00,587.5,587.5,575,575
2020-07-01T00:00:00,625,625,582.5,582.5
2020-07-02T00:00:00,600,600,600,600
2020-07-03T00:00:00,592.5,592.5,592.5,592.5
2020-07-06T00:00:00,610,610,602.5,602.5
2020-07-07T00:00:00,602.5,602.5,597.5,597.5
2020-07-08T00:00:00,620,620,620,620
2020-07-09T00:00:00,625,625,610,610
2020-07-10T00:00:00,610,617.5,610,617.5
2020-07-13T00:00:00,635,635,630,630
2020-07-14T00:00:00,655,655,650,650
2020-07-15T00:00:00,662.5,667.5,662.5,667.5
2020-07-16T00:00:00,655,655,655,655
2020-07-17T00:00:00,670,675,670,675
2020-07-20T00:00:00,725,725,725,725
2020-07-21T00:00:00,680,685,680,685
2020-07-22T00:00:00,690,700,690,700
2020-07-23T00:00:00,735,735,725,725
2020-07-24T00:00:00,735,735,735,735
2020-07-27T00:00:00,725,725,710,710
2020-07-28T00:00:00,665,672.5,665,672.5
2020-07-29T00:00:00,690,690,680,680
2020-07-30T00:00:00,710,710,692.5,692.5
2020-07-31T00:00:00,697.5,697.5,692.5,692.5
2020-08-03T00:00:00,717.5,717.5,707.5,707.5
2020-08-04T00:00:00,740,740,715,715
2020-08-05T00:00:00,705,705,700,700
2020-08-06T00:00:00,730,730,722.5,722.5
2020-08-07T00:00:00,690,720,690,720
2020-08-10T00:00:00,700,700,700,700
2020-08-11T00:00:00,705,705,705,705
2020-08-12T00:00:00,700,705,700,705
2020-08-13T00:00:00,715,715,715,715
2020-08-14T00:00:00,690,690,690,690
2020-08-17T00:00:00,695,695,695,695
2020-08-18T00:00:00,697.5,697.5,685,685
2020-08-19T00:00:00,700,700,700,700
2020-08-20T00:00:00,692.5,692.5,685,685
2020-08-21T00:00:00,697.5,697.5,680,680
2020-08-24T00:00:00,715,715,687.5,687.5
2020-08-25T00:00:00,695,700,695,700
2020-08-26T00:00:00,690,690,687.5,687.5
2020-08-27T00:00:00,695,695,692.5,692.5
2020-08-28T00:00:00,700,700,690,690
2020-08-31T00:00:00,700,700,700,700
2020-09-01T00:00:00,720,720,700,700
2020-09-02T00:00:00,710,710,705,705
2020-09-03T00:00:00,725,725,717.5,717.5
2020-09-04T00:00:00,715,715,715,715
2020-09-07T00:00:00,740,740,720,720
2020-09-08T00:00:00,715,717.5,715,717.5
2020-09-09T00:00:00,715,715,715,715
2020-09-10T00:00:00,727.5,742.5,727.5,742.5
2020-09-11T00:00:00,730,742.5,730,742.5
2020-09-14T00:00:00,750,750,740,740
2020-09-15T00:00:00,755,755,740,740
2020-09-16T00:00:00,745,750,745,750
2020-09-17T00:00:00,765,795,765,795
2020-09-18T00:00:00,800,800,775,775
2020-09-21T00:00:00,785,785,755,755
2020-09-22T00:00:00,770,770,765,765
2020-09-23T00:00:00,742.5,742.5,742.5,742.5
2020-09-24T00:00:00,735,735,720,720
2020-09-25T00:00:00,740,740,737.5,737.5
2020-09-28T00:00:00,745,755,745,755
2020-09-29T00:00:00,760,760,740,740
2020-09-30T00:00:00,745,745,740,740
2020-10-01T00:00:00,760,760,727.5,727.5
